"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 21 14:56:21 GMT 2025","Wed May 21 14:56:21 GMT 2025","0","tests.integration","test_int_one","","","","test_failure",""
"passed","Wed May 21 14:56:21 GMT 2025","Wed May 21 14:56:21 GMT 2025","0","tests.integration","test_int_one","","","","test_success","_summary_
    Args:
        fixture_integration (_type_): _description_
    "
"skipped","Wed May 21 14:56:21 GMT 2025","Wed May 21 14:56:21 GMT 2025","0","tests.integration","test_int_one","","","","test_xfailure",""
